index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
792,7/2/2018,Western,1149.12,1240.16,91.04,25.14,26.13,0.99,40.94,24.66,-16.28
793,7/2/2018,Southern,643.74,604.75,-38.99,45.43,71.1,25.67,82.8,62.78,-20.02
794,7/2/2018,Eastern,488,504.1,16.1,,,0,25.1,23.18,-1.92
795,7/2/2018,NorthEastern,31.93,34.5,2.57,,,0,10.24,7.87,-2.37
796,8/2/2018,Northern,614.11,635.96,21.85,30.36,27.79,-2.57,109.45,92.6,-16.85
797,8/2/2018,Western,1149.12,1248.73,99.61,25.14,26.13,0.99,40.94,24.75,-16.19
798,8/2/2018,Southern,643.74,577.04,-66.7,45.43,71.03,25.6,82.8,50.76,-32.04
799,8/2/2018,Eastern,488,507.01,19.01,,,0,25.1,27.61,2.51
800,8/2/2018,NorthEastern,31.93,34.07,2.14,,,0,10.24,8.58,-1.66
801,9/2/2018,Northern,614.11,651.09,36.98,30.36,31.65,1.29,109.45,94.27,-15.18
802,9/2/2018,Western,1167.72,1238.89,71.17,25.14,26.13,0.99,40.94,21.98,-18.96
803,9/2/2018,Southern,643.74,592.07,-51.67,45.43,70.21,24.78,82.8,59.29,-23.51
804,9/2/2018,Eastern,488,507.11,19.11,,,0,25.1,27.33,2.23
805,9/2/2018,NorthEastern,31.93,34.05,2.12,,,0,10.24,8.15,-2.09
806,10/2/2018,Northern,614.11,650.88,36.77,30.36,31.86,1.5,109.45,93.31,-16.14
807,10/2/2018,Western,1167.72,1222.2,54.48,25.14,26.23,1.09,40.94,22.34,-18.6
808,10/2/2018,Southern,643.74,576.32,-67.42,45.43,70.28,24.85,82.8,60.51,-22.29
809,10/2/2018,Eastern,488,513.4,25.4,,,0,25.1,27.15,2.05
810,10/2/2018,NorthEastern,31.93,33.51,1.58,,,0,10.24,7.48,-2.76
811,11/2/2018,Northern,610.71,598.19,-12.52,30.36,31.92,1.56,109.45,91.87,-17.58
812,11/2/2018,Western,1167.72,1149.44,-18.28,25.14,26.23,1.09,40.94,16.1,-24.84
813,11/2/2018,Southern,643.74,529.47,-114.27,45.43,70.3,24.87,82.8,33.57,-49.23
814,11/2/2018,Eastern,488,499.29,11.29,,,0,25.1,23.63,-1.47
815,11/2/2018,NorthEastern,31.93,33.36,1.43,,,0,10.24,7.13,-3.11
816,12/2/2018,Northern,608.21,555.2,-53.01,30.36,31.75,1.39,109.45,90.08,-19.37
817,12/2/2018,Western,1167.72,1119.22,-48.5,25.14,26.23,1.09,40.94,22.46,-18.48
818,12/2/2018,Southern,643.74,582.48,-61.26,45.43,70.19,24.76,82.8,47.12,-35.68
819,12/2/2018,Eastern,488,499.69,11.69,,,0,25.1,22.67,-2.43
820,12/2/2018,NorthEastern,31.93,33.48,1.55,,,0,10.24,6.98,-3.26
821,13/2/2018,Northern,608.21,566.09,-42.12,30.36,31.7,1.34,109.45,90.9,-18.55
822,13/2/2018,Western,1167.72,1137.89,-29.83,25.14,26.16,1.02,40.94,23.13,-17.81
823,13/2/2018,Southern,643.74,585.93,-57.81,45.43,70.22,24.79,82.8,46.1,-36.7
824,13/2/2018,Eastern,488,500.87,12.87,,,0,25.1,22.31,-2.79
825,13/2/2018,NorthEastern,31.93,33.36,1.43,,,0,10.24,7.05,-3.19
826,14/2/2018,Northern,608.21,598.77,-9.44,30.36,31.83,1.47,109.45,94.92,-14.53
827,14/2/2018,Western,1167.72,1103.2,-64.52,25.14,26.16,1.02,40.94,19.96,-20.98
828,14/2/2018,Southern,643.74,569.84,-73.9,45.43,70.1,24.67,82.8,40.6,-42.2
829,14/2/2018,Eastern,488,497.47,9.47,,,0,25.1,21.58,-3.52
830,14/2/2018,NorthEastern,31.93,32.66,0.73,,,0,10.24,5.75,-4.49
831,15/2/2018,Northern,616.21,607.95,-8.26,30.36,31.79,1.43,109.45,96.66,-12.79
832,15/2/2018,Western,1166.32,1139.32,-27,25.14,26.16,1.02,40.94,25.85,-15.09
833,15/2/2018,Southern,643.74,574.36,-69.38,67,69.93,2.93,82.8,39.46,-43.34
834,15/2/2018,Eastern,488,490.15,2.15,,,0,25.1,22.96,-2.14
835,15/2/2018,NorthEastern,31.93,32.49,0.56,,,0,10.24,6.73,-3.51
836,16/2/2018,Northern,616.21,627.46,11.25,30.36,31.82,1.46,109.45,95.49,-13.96
837,16/2/2018,Western,1166.32,1187.35,21.03,25.14,26.24,1.1,40.94,23.92,-17.02
838,16/2/2018,Southern,643.74,605.11,-38.63,67,70.09,3.09,82.8,48.73,-34.07
839,16/2/2018,Eastern,490.85,496.94,6.09,,,0,25.1,22.43,-2.67
840,16/2/2018,NorthEastern,31.93,33.2,1.27,,,0,10.24,6.98,-3.26
841,17/2/2018,Northern,616.21,611.01,-5.2,30.36,31.66,1.3,109.45,96.91,-12.54
842,17/2/2018,Western,1166.32,1189.54,23.22,25.14,25.17,0.03,40.94,27.21,-13.73
843,17/2/2018,Southern,643.74,617.08,-26.66,67,71.04,4.04,82.8,47.95,-34.85
844,17/2/2018,Eastern,490.85,508.87,18.02,,,0,25.1,23.94,-1.16
845,17/2/2018,NorthEastern,31.93,32.85,0.92,,,0,10.24,7.03,-3.21
846,18/2/2018,Northern,616.21,582.75,-33.46,30.36,31.78,1.42,109.45,93.96,-15.49
847,18/2/2018,Western,1166.32,1185.76,19.44,25.14,13.09,-12.05,40.94,24.53,-16.41
848,18/2/2018,Southern,650.74,580.96,-69.78,67,71.01,4.01,82.8,37.39,-45.41
849,18/2/2018,Eastern,490.85,502.79,11.94,,,0,25.1,21.61,-3.49
